Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CSA,VictoryShares US Small Cap Volatility Wtd ETF,42.8692,2196979710,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/csa
VIRT,"Virtu Financial, Inc.",17.5,2438786018,n/a,2015,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/virt
VWR,VWR Corporation,32.96,4340653390,n/a,2014,Consumer Durables,Diversified Electronic Products,http://www.nasdaq.com/symbol/vwr
WAFD,"Washington Federal, Inc.",34.85,3117320477,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wafd
WBMD,WebMD Health Corp,58.54,2213837855,n/a,2005,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/wbmd
WEN,Wendy&#39;s Company (The),15.47,3797207012,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/wen
WERN,"Werner Enterprises, Inc.",29.5,2130483156,n/a,1986,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/wern
WINS,Wins Finance Holdings Inc.,205.01,4108738051,n/a,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/wins
WTFC,Wintrust Financial Corporation,77.36,4305763994,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wtfc
WIX,Wix.com Ltd.,73.15,3279997867,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wix
WWD,"Woodward, Inc.",69.84,4279271819,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wwd
WMGI,Wright Medical Group N.V.,26.98,2813538909,n/a,2011,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/wmgi
YNDX,Yandex N.V.,26.28,8505224589,n/a,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/yndx
YERR,Yangtze River Development Limited,14.59,2513411217,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/yerr
YY,YY Inc.,58.15,2228959513,38331204,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/yy
ZBRA,Zebra Technologies Corporation,104.78,5528581115,n/a,1991,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/zbra
Z,"Zillow Group, Inc.",45.24,8324279660,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/z
ZG,"Zillow Group, Inc.",45.21,8318759580,n/a,2011,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/zg
ZION,Zions Bancorporation,43.13,8739401666,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/zion
ZNGA,Zynga Inc.,3.51,3018955710,n/a,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/znga
