Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
BEP,Brookfield Renewable Partners L.P.,32.13,5363702550,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/bep
BRO,"Brown & Brown, Inc.",44.1,6185868677,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/bro
BC,Brunswick Corporation,61.8,5519151403,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bc
BPL,Buckeye Partners L.P.,62.91,8840593581,n/a,1986,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bpl
BVN,Buenaventura Mining Company Inc.,11.62,2954484281,n/a,1996,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/bvn
BURL,"Burlington Stores, Inc.",99.24,6929099256,n/a,2013,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/burl
BWXT,"BWX Technologies, Inc.",47.99,4753250413,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bwxt
CJ,C,36.06,2281615762,n/a,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cj
CAB,Cabela&#39;s Inc,56.39,3885928507,n/a,2004,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/cab
CABO,"Cable One, Inc.",713.89,4086515530,n/a,2015,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cabo
CBT,Cabot Corporation,54.2,3386158496,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cbt
CACI,"CACI International, Inc.",127.5,3118118963,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/caci
CAE,CAE Inc,16.61,4458219906,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cae
CAA,"CalAtlantic Group, Inc.",35.15,4029004847,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/caa
CPE,Callon Petroleum Company,11.51,2314216323,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpe
CPN,Calpine Corporation,13.31,4802160473,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cpn
CPT,Camden Property Trust,87.35,7655459082,n/a,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cpt
